  2449     cell side=  247.    lamda=  30.0    %-model= 3.0    dens=  0.0
   X(m)   Y(m)   Z(m asl)   sx(m)  sy(m)   sz(m)  den(kg/m3)   sen    ord
 361487 6005302    1762      128    173    128      3.7        8.1    4.4
 361487 6005464    1762      128    150    128      3.7        7.0    4.3
 361487 6005614    1762      128    150    128      3.7        6.9    4.0
 361487 6005764    1762      128    150    128      3.7        7.5    4.2
 361615 6004950    1762      128    373    128      7.3       17.9    3.8
 361615 6005263    1762      128    254    128      7.3       11.9    3.8
 361615 6005499    1762      128    217    128      3.7       10.1    4.9
 361615 6005716    1762      128    217    128      3.7       10.5    4.9
 361742 6005197    1762      128    355    128      7.3       17.2    5.1
 361742 6005527    1762      128    305    128      7.3       14.2    4.7
 361742 6005838    1762      128    319    128      3.7       15.6    5.7
 361870 6005593    1762      128    382    128      7.3       19.0    6.0
 362637 6007958    1762      128     75    128      3.7        3.7    3.7
 362637 6008033    1762      128     75    128      7.3        3.8    3.9
 362637 6008108    1762      128     75    128      7.3        3.7    4.2
 362637 6008181    1762      128     70    128      3.7        3.3    4.1
 362764 6008009    1762      128     62    128      3.7        3.0    4.9
 362764 6008074    1762      128     67    128     11.0        3.3    3.8
 362764 6008142    1762      128     70    128     11.0        3.4    5.3
 362764 6008212    1762      128     70    128     11.0        3.4    4.3
 362764 6008280    1762      128     66    128      7.3        3.1    4.1
 362892 6008018    1762      128     51    128      3.7        2.5    3.9
 362892 6008072    1762      128     57    128      7.3        2.8    4.2
 362892 6008131    1762      128     62    128     11.0        3.1    4.5
 362892 6008196    1762      128     67    128     11.0        3.3    6.4
 362892 6008263    1762      128     67    128     11.0        3.4    5.2
 362892 6008330    1762      128     67    128      7.3        3.3    5.1
 362892 6008398    1762      128     67    128      3.7        3.2    4.6
 363020 6008044    1762      128     48    128      3.7        2.4    3.7
 363020 6008095    1762      128     53    128      3.7        2.6    5.0
 363020 6008151    1762      128     58    128      7.3        2.9    4.6
 363020 6008211    1762      128     62    128      7.3        3.0    4.3
 363020 6008273    1762      128     62    128      3.7        3.1    4.4
 363659 6007075    1762      128    306    128      3.7       14.5    4.0
 363787 6007007    1762      128    371    128      3.7       18.4    4.3
 363787 6007327    1762      128    270    128      3.7       12.9    4.3
 363914 6007415    1762      128    313    128      3.7       15.2    5.3
 366725 6012036    1762      128    344    128     -3.7       17.0    3.7
 366853 6012153    1762      128    311    128     -3.7       15.0    3.7
 368003 6013852    1762      128    315    128     -3.7       15.9    5.0
 368131 6013715    1762      128    368    128     -3.7       17.1    5.0
 360188 6011443    1627      142     49    142     -3.7        2.8    3.9
 360188 6011492    1627      142     49    142     -3.7        3.0    4.8
 360188 6011542    1627      142     52    142     -3.7        3.1    6.1
 360188 6011595    1627      142     55    142     -7.3        3.3    4.0
 360188 6011651    1627      142     58    142     -7.3        3.4    4.2
 360188 6011711    1627      142     61    142     -7.3        3.7    3.7
 360188 6011774    1627      142     65    142     -3.7        3.9    6.1
 360188 6011841    1627      142     70    142     -3.7        4.2    4.1
 360330 6011259    1627      142     51    142     -3.7        3.0    4.0
 360330 6011309    1627      142     51    142     -3.7        2.9    4.7
 360330 6011360    1627      142     51    142     -7.3        2.9    4.0
 360330 6011410    1627      142     51    142     -7.3        3.0    4.8
 360330 6011461    1627      142     51    142     -7.3        3.0    6.1
 360330 6011512    1627      142     51    142     -7.3        3.0    7.3
 360330 6011562    1627      142     51    142     -7.3        3.1    7.0
 360330 6011614    1627      142     53    142     -7.3        3.2    6.2
 360330 6011667    1627      142     53    142     -7.3        3.2    4.9
 360330 6011721    1627      142     56    142     -7.3        3.3    3.7
 360330 6011778    1627      142     58    142     -3.7        3.5    4.9
 360330 6011838    1627      142     62    142     -3.7        3.7    3.9
 360472 6011030    1627      142     75    142     -3.7        4.3    3.7
 360472 6011101    1627      142     69    142     -3.7        4.0    4.5
 360472 6011168    1627      142     64    142     -7.3        3.7    3.8
 360472 6011230    1627      142     61    142     -7.3        3.6    4.7
 360472 6011290    1627      142     58    142     -7.3        3.4    5.9
 360472 6011349    1627      142     58    142     -7.3        3.3    7.2
 360472 6011405    1627      142     55    142    -11.0        3.2    3.7
 360472 6011461    1627      142     55    142     -7.3        3.2    6.8
 360472 6011515    1627      142     53    142     -7.3        3.1    5.7
 360472 6011568    1627      142     53    142     -7.3        3.1    4.5
 360472 6011621    1627      142     53    142     -7.3        3.0    3.7
 360472 6011674    1627      142     53    142     -3.7        3.1    4.5
 360472 6011727    1627      142     53    142     -3.7        3.1    3.8
 360613 6010845    1627      142    123    142     -3.7        7.1    3.8
 360613 6010958    1627      142    103    142     -3.7        6.0    5.1
 360613 6011055    1627      142     90    142     -7.3        5.2    4.5
 360613 6011141    1627      142     81    142     -7.3        4.7    5.8
 360613 6011219    1627      142     74    142     -7.3        4.3    7.0
 360613 6011291    1627      142     69    142     -7.3        4.0    7.6
 360613 6011357    1627      142     64    142     -7.3        3.8    6.4
 360613 6011420    1627      142     61    142     -7.3        3.5    5.2
 360613 6011479    1627      142     58    142     -7.3        3.4    3.9
 360613 6011536    1627      142     55    142     -3.7        3.2    4.7
 360613 6011591    1627      142     55    142     -3.7        3.2    3.8
 360755 6010774    1627      142    167    142     -3.7        9.7    4.1
 360755 6010925    1627      142    134    142     -7.3        7.8    4.1
 360755 6011049    1627      142    113    142     -7.3        6.5    5.5
 360755 6011155    1627      142     98    142     -7.3        5.7    6.5
 360755 6011247    1627      142     87    142     -7.3        5.0    5.5
 360755 6011330    1627      142     78    142     -7.3        4.5    4.4
 360755 6011405    1627      142     72    142     -3.7        4.2    5.3
 360755 6011474    1627      142     67    142     -3.7        3.9    4.0
 360896 6010822    1627      142    190    142     -3.7       11.0    4.7
 360896 6010992    1627      142    151    142     -7.3        8.7    4.4
 360896 6011130    1627      142    125    142     -7.3        7.2    4.7
 360896 6011246    1627      142    107    142     -7.3        6.2    3.8
 360896 6011347    1627      142     94    142     -3.7        5.4    4.3
 361038 6005310    1627      142     62    142      3.7        3.6    3.7
 361038 6011024    1627      142    178    142     -3.7       10.3    5.1
 361038 6011186    1627      142    145    142     -3.7        8.4    4.5
 361180 6005090    1627      142    112    142      3.7        6.5    3.8
 361180 6005192    1627      142     92    142      3.7        5.3    3.9
 361180 6005278    1627      142     80    142      3.7        4.6    3.8
 361180 6005354    1627      142     71    142      3.7        4.1    3.8
 361180 6005422    1627      142     66    142      3.7        3.8    3.7
 361321 6005089    1627      142    140    142      3.7        8.1    4.2
 361321 6005216    1627      142    114    142      3.7        6.6    4.3
 361321 6005322    1627      142     99    142      3.7        5.7    4.1
 361321 6005416    1627      142     89    142      3.7        5.2    4.1
 361321 6005503    1627      142     85    142      3.7        4.9    4.0
 361321 6005588    1627      142     85    142      3.7        4.9    3.9
 361321 6005672    1627      142     85    142      3.7        5.0    4.0
 361321 6005759    1627      142     90    142      3.7        5.4    3.9
 361321 6005854    1627      142     99    142      3.7        6.0    3.8
